Influenciador,fator
"Mês: 1 - Local: TO: Soja, mesmo triturada",acumulado trimestre
Mês: 2 - Local: PA: Adubos  azotados,acumulado trimestre
Mês: 3 - Local: SC: Adubos  azotados,variação ano anterior
"Mês: 4 - Local: MT: Soja, mesmo triturada",acumulado ano
"Mês: 5 - Local: RS: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",peso
"Mês: 6 - Local: MT: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",peso
Mês: 8 - Local: PA,chuvas
"Mês: 8 - Local: SC: Óleos de petróleo... , em peso, 70 % ",peso
Mês: 9 - Local: MG: Açúcares de cana ou de beterraba ,acumulado bimestre
Mês: 10 - Local: PR: Adubos  azotados,acumulado bimestre
Mês: 11 - Local: RO: Adubos  fosfatados,acumulado ano
Mês: 12 - Local: SP: Adubos  fosfatados,acumulado ano
